,value,has_keyword,pred,class
38,for just 399  £419  au749 you can have a brandnew handset from apple – it’s one of the best iphones ever created and you can now get your hands on one,1,0.9928044978922309,1
39,battery life is just ok apple designs devices to last and not just because it pleases customers,1,0.9850671787414317,1
40,heres a quick rundown the iphone se has the same body screen and storage as the iphone 5s  at amazon ,1,0.9807806810741589,1
41,excellent performance,1,0.9690559533415739,1
42,in fact the new iphone se is all these things and thats why im enamored with it,1,0.9918016443090448,1
43,on the surface you could easily mistake the se for that threeyearold model with its design home button and bezel frame,1,0.9870534004395402,1
44,the design of the phone is going to be familiar to anyone that’s used an iphone recently – unless you’ve not held a handset from apple since 2013 then you’ll have seen this 47inch frame before complete with bezels top and bottom and a home button with fingerprint scanner built in,1,0.9917913121479865,1
45,it also lets apple polish up an old device with fresh specs and sell it as new,1,0.9869400469674307,1
46,it has the same modem touch id sensor with nfc for apple pay and front camera as the iphone 6 ,1,0.9853038933703068,1
47,solid battery life,1,0.9884944473995778,1
48,affordable price,1,0.9779321653574284,1
49,the new iphone se goes on sale in shanghai china ,0,0.8829197679488902,1
50,it’s now seen as the ‘smaller’ iphone form factor given the allscreen designs of the more recent models and it’s both more lightweight and pocketable than anything from the iphone 11 range,1,0.9853639870210957,1
51,the iphone se is the latest example but hardly the first,1,0.9802453185115695,1
52,and it shares a processor and rear camera with the iphone 6s 59999 with code vzwdeal at verizon wireless ,1,0.9824764690193856,1
53,average screen,1,0.9782231671698938,1
54,long battery life so far,1,0.9907308023796461,1
55,one of the only regions where apple stores are currently openthe new iphone se goes on sale in shanghai china ,1,0.9353708116000353,1
56,it’s pleasingly water resistant but does have some drawbacks thanks to the older design it lacks a headphone jack at the bottom and because the display technology is slightly dated as it comes from the iphone 8 it can suffer in bright light when you’re trying to watch videos or the like,1,0.9826083274009292,1
57,apple took a similar approach to the iphone 8 and still sells a macbook pro 13 with touch bar that’s essentially identical to the model launched in 2015,1,0.9878576828669335,1
58,these components add up to a phone that can run the latest apps without complaining and fits into a childs hand,1,0.9641743362777276,1
59,poor frontfacing camera,1,0.9704335533885124,1
60,great rear camera,1,0.9921042732502241,1
61,one of the only regions where apple stores are currently open,1,0.9718091156193034,1
62,apple might have stuck with the same design as the iphone 8 but the innards are much improved – notably the new a13 bionic chipset inside which adds speed nearly everywhere and really does improve the performance over the older 47inch models,1,0.9942214275207111,1
63,it’s a polarizing strategy and the new iphone se created a schism the moment it was announced for all the usual reasons,1,0.9510932524193582,1
64,from a design perspective the iphone se 13900 at amazon uses the iphone 5s body,1,0.9860405662907098,1
65,the iphone se is the last truly small iphone that apple launched,1,0.9955448597976984,1
66,iphone 11 prolevel performance,0,0.948877180287209,1
67,under the hood apple has stuffed the computing smarts of its flagship 61inch iphone 11 into the ses 47inch body making it arguably the most powerful budget device on the market,1,0.9809040646619369,1
68,it’s not quite at the level of the iphones launched last year but it’s not far off,1,0.9812787592169175,1
69,some see smart reuse of a great design that still has purpose,1,0.9857403618205323,1
70,that means it measures 487 by 231 by 030 inches hwd and weighs 40 ounces and has a brushedmetal back with glass panels at the top and bottom,1,0.9247515253626986,1
71,the same size as the older iphone 5s the se slips easily into a pocket and is supereasy to use onehanded,1,0.9886745740848237,1
72,dont like,1,0.9816996886721595,1
73,but its something else ,1,0.9675347510101273,1
74,that a13 chipset has improved the camera performance too despite no discernible change to the specs of the sensor since the iphone 8 there’s just a single lens on the iphone se 2020,1,0.994055882116431,1
75,others see lazy rebranding of an obsolete phone,1,0.911526363602812,1
76,theres a touch idequipped fingerprintsensing physical home button below the display,1,0.9854655850564804,1
77,now the handset is getting a little old and it’s increasingly hard to find with only a few refurbished models available,1,0.9872805949624827,1
78,old iphone design,1,0.9914699278515977,1
79,something harder to quantify with the specs you find on a typical product page ,1,0.9345566849114824,1
80,it takes decent bright photos that will please most people although it doesn’t quite offer the same color reproduction or clarity as the iphone 11 pro max for example,1,0.9922883151783843,1
81,people in both camps tend to have their opinion ready before ever laying hands on the phone in question,1,0.9715295044086882,1
82,the phone fits easily into iphone 5 or iphone 5s cases,1,0.9875834585768807,1
83,given that there doesn’t appear to be any sign that the iphone se 2 will ever be released is this still the small phone to buy,1,0.9897715445401093,1
84,selfie camera is mediocre,1,0.9758969075473588,1
85,that makes this device feel like it was made for exactly the moment we now find ourselves in intentionally or not,1,0.9846004206477165,1
86,the portrait mode doesn’t work as well as on phones that pack a second depthsensing sensor for precise bokeh effects  and as a result you can be left with some oddlooking fringing around the edges of subjects,1,0.9758860623422552,1
87,whatever your thoughts going in one fact is indisputable the iphone se 400 is the least expensive iphone and that makes it important no matter its design or hardware,1,0.9875921227472191,1
88,there are only two visible differences between this and the older phones theres a small se logo on the back and the beveled edges are matte rather than shiny,1,0.9872812319802108,1
89,for many people the answer will be yes,1,0.9731775548585413,1
90,the new iphone se has the classic design that defined the iphone for its first 10 years,1,0.9833041583215971,1
91,starting at 399 its by far the most affordable new iphone at a time when many households may struggle to justify the fourfigure price tags of apples flagship smartphones,1,0.9832632923489099,1
92,but overall the camera – and especially for the price – takes impressive pictures in most scenarios,1,0.9899129481972214,1
93,plenty of people will buy it because it’s the new default choice,1,0.9801684330527907,1
94,the phone also now comes in rose gold in addition to dark gray gold and silver,1,0.9521957670666517,1
95,thanks to the iphone se getting ios 13 it can run the latest operating system keeping it uptodate,1,0.9753971648566429,1
96,the design the body and the camera lenses are all the same as 2017s iphone 8,1,0.984706350250853,1
97,more than 26 million people are out of work in the us alone and many others may worry about joining those ranks,1,0.9568888793028258,1
98,battery life is probably one of the biggest issues we found with the iphone se 2020 – it’s not going to easily last you a day unless you’re a particularly light and sedate user,1,0.9957137511415461,1
99,i’ll get an awkward admission out of the way,1,0.9547654912838153,1
100,the iphone se also uses the same screen as the iphone 5s a 4inch 1136by640 panel that has 326 pixels per inch,1,0.9886587792418382,1
101,and if the size is the most important thing to you then this is the smallest iphone that you can get by a long shot,1,0.9814960296511711,1
102,but apple performed a clever brain transplant replacing the nearly 3yearold processor with the a13 bionic processor used in the iphone 11 11 pro and 11 pro max,1,0.9881418697196591,1
103,with its smaller screen and the return of features like a touch id button its immediately familiar when practically everything else in our lives is very much not,1,0.9866733549388239,1
104,given the number of powerhungry apps available that will make the most of all that power provided by the a13 chipset we would have liked to have seen at least an allday battery in there even for the lower price,1,0.985376473514294,1
105,as a tech reviewer you might expect me to upgrade my gear every year,0,0.8167463132494667,1
106,in terms of quality its pretty similar to the iphone 6 and 6s screens which are just bigger,1,0.991345920418521,1
107,yet there’s no getting away from the fact that the iphone se is now a little old and the iphone 8 is faster and a better choice for most people looking for a cheaper iphone while the iphone xr makes more sense if you want something with a more modern design and the iphone 11 can take care of your flagship needs,1,0.9977019991373338,1
108,this goes well beyond a simple spec bump by majorly improving things like the cameras and battery life,1,0.9742088507339604,1
109,and even some of the features that apple forfeits in the se feel oddly prescient and appropriate,1,0.9754959247372174,1
110,however don’t let that detract from the fact that the iphone se 2020 follows on from its predecessor by bringing you a new iphone with not a lot of compromise for less money than you might expect,1,0.9768178869121331,1
111,i don’t,0,0.948817933505609,1
112,these are highquality lcds that have made hundreds of millions of people happy over the years but its important to remember they arent leadingedge the screens on the samsung galaxy s7 19999 at samsung and the lg g5 62400 at verizon wireless  for example are brighter with richer colors and much higher pixel density making everything look more vibrant than it does on iphones,1,0.9729830158247036,1
113,iphone se design screen and audio – small but perfectly formed,1,0.9913044321795013,1
114,the new processor not only runs faster but it will likely futureproof the phone through years of ios updates,1,0.9897141196872684,1
115,after all what good is it to default to relying on facial recognition to unlock a device when so many of us now must cover our faces daily with masks,1,0.9606388316844614,1
116,while it doesn’t hit many heights in terms of power or performance it more than offsets that by being the cheapest iphone apple has ever launched while still packing refined and useful hardware making the new iphone se a splendid option for those either on a budget or just wanting to find an easy route into the apple ecosystem,1,0.9891063270474099,1
117,my everyday phone is an iphone 7 plus which despite lacking many knockout features you’ll find on more modern devices is still a nice phone,1,0.9925245583541613,1
118,the 4inch screen reduces usable real estate of course,1,0.9761522777246323,1
119,a surprising amount of people i speak to say they want a small phone that packs all the features of a fullfat flagship,1,0.9863873179731348,1
120,but a 399 £419 au749 iphone comes with compromises which apple chose wisely,1,0.9724844020529431,1
121,what you really need in 2020 is a device that lets you video chat and email and doesnt break when your toddler throws it on the ground,1,0.9763263177361167,1
122,the iphone se 2020 release date was friday april 24 with preorders going live the week before so you can now get your hands on apples latest handset if youre hankering for some lowprice iphone action,1,0.9697481895228246,1
123,the one thing i don’t like about it is a drawback it shares with the iphone se chunky bezels around the display,1,0.9908449875475881,1
124,reading an email in outlook i could see about 90 words on the ses screen as compared with 160 words on the iphone 6s 250 on the galaxy s7 and 360 on samsung galaxy note 5 ,1,0.9789917628468188,1
125,sony is the only manufacturer to have previously attempted anything like this but even its xperia z5 compact has a notsotiny 46inch screen and it’s quite thick,1,0.9576503553929407,1
126,the se has only a single rear camera it doesnt have face id and it lacks camera features like night mode slofies and deep fusion processing,1,0.9946706263650382,1
127,when we emerge from quarantine however well need something more,1,0.9837623926154442,1
128,the iphone se price starts at 399  £419  au749  rs 42500 meaning its the same price in the us as the original iphone se but higher in the uk,1,0.9837918370800846,1
129,they’re massive compared to other modern phones,1,0.9798723478861773,1
130,looking at a google sheet spreadsheet i could see 13 rows on the se as compared with 17 on the 6s 22 on the galaxy s7 and 27 on the note 5,1,0.9791768182423193,1
131,the iphone se is much smaller and much easier to handle,1,0.9891302280102728,1
132,the selfie camera is ok but not as amazing as the one found on the iphone 11 11 pro and 11 pro max,1,0.9941030691588258,1
133,the good news is the se is more than just a device thats nearly half the price of the 699 iphone 11 it works nearly as well,1,0.9947607025980152,1
134,the base model comes with 64gb of storage with 128gb and 256gb models also available for a higher price which you can see listed below,1,0.9787215601686872,1
135,every android competitor in this space offers slim bezels that maximum screen size for a given footprint,1,0.9763752139715292,1
136,that can be frustrating but it can also be liberating,1,0.9723853538960846,1
137,anyone who’s used an iphone 5 or iphone 5s will feel at ease with the iphone se – it looks and feels almost identical except now you can get it in a fetching rosegold colour and its cut edges are matte rather than shiny chrome,1,0.971051941806329,1
138,when you look at the complete picture the iphone se represents the most value for your dollar of any phone apple sells,1,0.9749239973697083,1
139,the specs youll care about whenever the pandemic ends,1,0.968945591824707,1
140,in the us apple is offering the new iphone se at 1662month through its financing plan or if you have something like the iphone 8 to tradein just 954mo or 229 – although if you’re upgrading from the original iphone se or iphone 6 youll only get 30 toward the full price of the device,1,0.991497920209701,1
141,can you live with them,1,0.9583723602752339,1
142,i used the se as my primary phone for a weekend coming off of a few months with a galaxy note 5 and discovered that you use them differently,1,0.9467719410094358,1
143,those phones have an iconic design and i have no problem with apple reusing it especially if it means they can keep costs down and pass the savings on,1,0.9806897535978244,1
144,it has an attractive price fantastic battery life great rear camera a13 processor water resistance and support for wireless charging,1,0.9925873091020528,1
145,this is apples secondgeneration iphone se,0,0.9418242634596213,1
146,the iphone se has exactly the same design and display as the iphone 8 from 2017,1,0.9902108497277525,1
147,certainly,1,0.9647697470365305,1
148,i found myself less likely to write long emails and social media messages on the iphone se than on the larger note 5 but more likely to quickly check various feeds and read news especially while doing something else,1,0.9776078311974741,1
149,the best thing about the design of the iphone se is that it still feels quality,1,0.9959812347953507,1
150,the se is not only a wonderful iphone but one of the best budget phones you can currently buy,1,0.9856339089696705,1
151,the original which sold for 399 when it was introduced four years ago packed the internals of the 47inch iphone 6 and the 55inch iphone 6s plus into the 4inch body of the iphone 5 serving as an alternative for people who didnt want a bigger device or the price tag that comes with it,1,0.9919211675009135,1
152,using this form factor and screen hardware allowed apple to keep the cost of the device as low as it has as it didn’t need to invest in a whole new manufacturing process,1,0.9843824068625688,1
153,i have for years,0,0.9480604706469296,1
154,the iphone se sat so firmly in my hand that i never felt like i was going to drop it the way i sometimes felt with the galaxy note 5,1,0.9835660187865712,1
155,the brushed aluminium back is both hard and cool to touch the buttons are solid and it’s easily small enough to use onehanded regardless of the size of your hands,1,0.9893535909552255,1
156,physically the se is an iphone 8,1,0.9745954706501951,1
157,now its back and so is the home button and touch id over the newer option to unlock through facial recognition,1,0.9797818547354786,1
158,it feels like the iphone world has moved on in three years though – that the 47inch screen with the chunky bezels above and below has been consigned to the past,1,0.9871611008686343,1
159,still this is easily the biggest problem with the iphone se’s design,1,0.9947990568933258,1
160,i commute with my tween daughter and she found it more comfortable to play games on the se than on the note 5—which is so big that she actually cant hold it safely in one hand,1,0.9702105057885935,1
161,iphone se 3 coming from using the giant iphone 6s plus and huawei mate 8 i also found it a relief to be able to bend my leg again when i put a phone in my front pocket,1,0.9771971491097079,1
162,the front and back are made of glass the chassis and sides are aluminum,1,0.9682395131613406,1
163,its hard to shake the habit of swiping up to close out of apps like you would on newer models but theres also something nostalgic about pressing a physical button again,1,0.9868549572514083,1
164,in that time the flagship iphone range has moved to an allscreen design – barring a notch at the top you’re presented with barely any bezels – while with more premium aluminum inside things have got a little weightier in recent years,1,0.977032465051068,1
165,you’ll feel a tinge of jealously when a friend pulls out a google pixel 3a or moto g stylus,1,0.9811132959765229,1
166,theres one real usability handicap i have always found the touch keyboards on 4inch iphones difficult to type on accurately,1,0.9751070487578997,1
167,in other ways it’s taken me time to adjust to the smaller screen,1,0.9835170345599922,1
168,the only physical difference between the iphone se and iphone 8 is that the apple logo is now centered on the back to match currentgeneration iphones,1,0.9875317350044918,1
169,the same is true of the smaller size screen though it can take some getting used to for those whove turned to larger devices in recent years,1,0.9923486041611983,1
170,so returning to the iphone 8 design means apple is bringing back its more lightweight phone and anyone upgrading from something like the first iphone se will feel less of a change than if they went for the behemothic but impressive iphone 11 pro max for example,1,0.9951606134178219,1
171,while the iphone se is replacing the iphone 8 its design is rooted in the iphone 6 — a phone that came out in 2014,1,0.982850203805687,1
172,autocorrect helps but trying to type passwords—especially because ios never displays passwords—can be frustrating,1,0.9601857244202956,1
173,it’s not just that i have to move it closer to my face to read text like my granddad reading the morning paper i also struggle with the small keyboard,1,0.9683635485363452,1
174,the new phone has apples oldschool forehead and chin bezel above and below the screen,1,0.9755588445186825,1
175,the display choice is striking too with less pixel density than whats on the iphone 11 and bezels around the frame that take up a good bit of screen real estate,1,0.9926310883264845,1
176,indeed picking up the new iphone se  the first thing you’ll notice is how lightweight it is,1,0.9880515868490644,1
177,it’s not unfair to say that the new iphone se looks like a sixyearold phone,1,0.9890006810584552,1
178,call quality here is similar to the iphone 6 voices are loud and solid through the earpiece with support for hd calling wifi calling and voiceoverlte volte,1,0.966781794976054,1
179,ironically i often have to use both my hands and thumbs on the phone to minimise the potential for embarrassing autocorrect fails,1,0.961419285360702,1
180,this makes the se look well old,1,0.9933494263597658,1
181,articles 4k videos and games once again compete for space with the black perimeter intact making the experience a bit less immersive,1,0.9185293364638836,1
182,again some might not notice the change if they’re coming from a smaller phone from 201617 but trust us it could have been a lot worse as the devices in the newer allscreen iphone ranges are a lot heavier,1,0.9780508540280436,1
183,thankfully that’s where the bad news ends,1,0.9644971797226951,1
184,the speakerphone is adequate but not spectacular,1,0.9361449050901507,1
185,i’ve gotten more used to it but i still don’t find it comfortable after a few weeks of using the phone nonstop,1,0.9848006977327132,1
186,this is the one of the few things that im not too thrilled about,1,0.9808287702837262,1
187,the new iphone se in redthe iphone se only has one rear camera lens compared to the two youll find on the back of the iphone 11 an extra for landscape shots and the three on the iphone 11 pro another for zoom effects,1,0.9974700464047298,1
188,while the iphone 8’s design might feel like an archaic choice for a new iphone it makes a lot of sense in the iphone se 2020 – and for some who don’t particularly care for the latest features this more familiar design will be a lot more desirable,1,0.9928072887958216,1
189,despite its bezels the iphone se remains a slim sleek pocketable device,1,0.9789376760820311,1
190,transmissions through the microphone on the tmobile volte network were clear and solid,1,0.9500858708605088,1
191,the small screen also means watching video is a little cramped and while the iphone se is more than powerful enough to play all the best games trying to manoeuvre precisely requires daintier digits than mine,1,0.9839719180821098,1
192,its not ugly its just dated,1,0.9478516550192947,1
193,but coupled with the new processor the iphone se can do more than youd think,1,0.9727361560054965,1
194,one suspects that if apple had rebooted the original iphone se shape with the smaller 4inch screen and clickable home button the new iphone se 2020 features a haptic button that doesn’t move but simulates the feel of a click with a small vibration it would still have sold well but the larger 47inch lcd screen is more useful for today’s apps which make good use of the extended display,1,0.9977939499471402,1
195,it’s 545 inches tall 265 inches wide 29 inches thick and weighs only 522 ounces making it the lightest of the current iphones,1,0.9348999986322353,1
196,there are two models of the iphone se,1,0.9915418554232514,1
197,this really is a tiny phone by modern standards,1,0.9662931113402401,1
198,and that might appeal to some people but not me,1,0.976987884556484,1
199,portrait mode on the selfie camera is especially notable considering the front camera system touts just one lens,1,0.989477074950126,1
200,one thing that many will miss is the 35mm headphone jack,1,0.982435024875265,1
201,the google pixel 3a which is among the smaller mainstream android phones is still a halfinch taller more than a 10th of an inch wider and a 10th of an inch thicker — though it does manage to weigh the same,1,0.9799757965187154,1
202,the model we tested—a1662 which apple refers to as simfree—is sold for att tmobile and verizon its also the model sold unlocked,1,0.9662179901193482,1
203,while the iphone se still looks good there are a couple of aspects of the design that aren’t perfect and others that feel dated,1,0.9909961963790339,1
204,welcome back large bezels,1,0.9713549880380428,1
205,pictures are crisp vibrant and can easily be adjusted with lighting tools depthoffield control and image stabilization,1,0.9635455756069891,1
206,we’ve been saying we miss this for many moons now but as the original iphone se or other cheaper phones that are 23 years old had this feature we can see it might still cause consternation,1,0.9795456643866423,1
207,you’ll find more of a difference when comparing the iphone se to a beefy android phone like the moto g stylus,1,0.994416972876945,1
208,it supports lte bands 123458121317181920252629,0,0.8507630860576549,1
209,for starters if you don’t use a case with the iphone se you might find the edges a little harsh particularly if you’re more used to the rounded metal sides on contemporary phone designs,1,0.9846471911502084,1
210,having used face id for the past couple years its a strange and familiar feeling to set up and use touch id,1,0.9840843390259933,1
211,whats noticeably lacking however is night mode and slowmotion selfies ,1,0.9777112868786542,1
212,while some phone buyers might have accepted this loss by now barely any handsets are being launched with the port now it might still be something of a shock for those using phones from a few years ago in spite of the plethora of true wireless earbuds,1,0.968430852092162,1
213,that phone which packs a 64inch display is threequarters of an inch taller a quarterinch wider and far thicker,1,0.9686095578681356,1
214,that notably leaves out sprints highspeed band 41 so a different unit a1723 is sold for sprint,1,0.9143014038571159,1
215,the screen bezel is also rather wide – especially at the top and bottom – and that means you don’t get a lot of screen for the size of the phone,1,0.9926337123582615,1
216,its like going from an automatic transmission back to a stick shift,1,0.9734850906801452,1
217,features that are hardly dealbreakers and would go mostly unused right now anyway,1,0.9651145664236253,1
218,apple has put its earpods in the iphone se box which use the phone’s lightning connector in place of the 35mm headphone jack but those who already have wired headphones that they’re happy with will need to spend 9  £9  au15 on an adapter,1,0.9651366255792124,1
219,it’s also about 30 percent heavier,1,0.9810268291533197,1
220,the simfree model also has the mostused basic lte roaming bands but not band 7 which boosts speeds on canadian and some european networks,1,0.9174545741035605,1
221,that’s not the only problem with the screen,1,0.9934704181314594,1
222,but in the right car stick shift can be a blast,1,0.9517983273378464,1
223,concerts are now held in rock stars living rooms rather than lowlit venues and theres only so much you can do creatively with a slofie from the confines of your couch,1,0.9283591227617252,1
224,the display on the iphone se 2020 might not be the most featurerich but it’s fine,1,0.9872123163670901,1
225,that’s a difference you’ll easily notice and i complained that the g stylus felt too heavy and thick in my review,1,0.9854540128761874,1
226,the iphone 6s has all the bands and recovers from dead zones much more quickly than the se,1,0.9677048846367574,1
227,it packs the exact same display as the 5s,1,0.9782900855600105,1
228,i forgot how much i missed the home button and how it makes interactions and navigation less fussy than swipes and holds,1,0.9678960429338319,1
229,apple unveils new budget iphonemeanwhile the ses battery life gets you solid usage through the end of the day although how much longevity you need from it now when a charger is always nearby isnt as critical as you would on a long commute home,1,0.9826721839599388,1
230,given the target market this phone is aimed at – those who want a new iphone but don’t want to spend a huge amount of money on one – there’s not really an expectation of a fancy oled display here,1,0.9903541501772019,1
231,as a small phone the iphone se answers the prayers of those preaching the path of onehanded smartphone use,1,0.9827687880737905,1
232,that said the iphone se is going to outperform both the iphone 5s and the iphone 6 but not the 6s on tmobile because it supports band 12 which has become very important for extended lte coverage,1,0.9795137517010187,1
233,while the 1136 x 640 resolution provides a perfectly sharp 326 pixels per inch the screen lacks punch and has a reddish tinge that is exacerbated when it’s tilted at some angles,1,0.9476941016962901,1
234,i tap and hold to pay for purchases instead of angling my phone to get face id verification,1,0.9610265746777914,1
235,it does feature wireless charging something you wont find on most budget devices,1,0.9810703320652013,1
236,the resolution of the iphone se screen might not be topend it’s far less sharp than more recent iphones or even a number of cheap android phones but it’s not something that’s really that obvious in most usecases,1,0.9955801392841234,1
237,i’m 6 feet 1 inch and never needed two hands to use it — in fact placing two hands on it feels a bit silly,1,0.9857358740066223,1
238,the 5s and 6 dont have that band the 6s and se do,1,0.9860216504192738,1
239,compare it to samsung’s colourpacked super amoled screens or even the newer lcd technology on a phone like the htc 10 and it really starts looking its age,1,0.9413374189620244,1
240,a speedy doubletap shows recent apps,1,0.9569391759368231,1
241,in many ways the 399 model is a steal for what you get but as always the price ticks up if you want more than the default 64gb of storage,1,0.9827203875848556,1
242,the only thing that we would like to see improved is the brightness of the display in the years since the iphone 8 launch the color and vividity of the screens on phones has improved hugely and they appears brighter at default settings – and forcing the brightness right up has a strong and negative effect on the battery life,1,0.9793405092457056,1
243,owners under 5foot 4 inches might find reaching the top edge a stretch but the maneuver is still possible with a slight shimmy,1,0.9582992557639383,1
244,the iphone 6 and se should have similar performance to each other on the att and verizon networks,1,0.9838846319383442,1
245,still it’s quite acceptable – bright enough to be used outdoors and sharp enough to read websites on the go without noticing any fuzzy edges to letters,1,0.9644698056972967,1
246,though face id has its own benefits the home button is still as satisfying to use as it was back in the day,1,0.9935380123475976,1
247,it costs 449 for 128gb and 549 for 256gb the latter of which is still 150 less than the starting iphone 11 model,1,0.9657511753486753,1
248,that brightness does need to be increased a little too often as well – there’s no escaping the fact that this is an older display on offer with the iphone se 2020 and there were more than a few occasions when we needed to shelter the phone from brighter light to see what was on the screen – something that isn’t an issue with newer iphones,1,0.9957366622172511,1
249,in that sense the new iphone se falls short of the supreme onehanded utility of its 4inch predecessor,1,0.9692173756746545,1
250,the iphone se performs consistently better than the iphone 5s but not as well as the iphone 6s on wifi networks,1,0.9937283449148562,1
251,the speakers are decent,1,0.9516997802796273,1
252,for tiny phone lovers the iphone ses 47inch lcd display isnt as small as the original ses 4inch screen,1,0.9946328106679649,1
253,its also important to keep in mind the pandemic will likely have a significant impact on apples product plans for the year,1,0.967486400890691,1
254,the big change with the iphone se 2020 and we don’t use the italics lightly there is the upgraded engine from the iphone 8,1,0.9846009290723973,1
255,still it’s small enough that i don’t think most people will find this a problem,1,0.9951093004656129,1
256,while the se and 6s did about as well as each other within 25 feet of a wifi router the 6s offered better speeds on the edge of the wifi cell and in a very wifinoisy area,1,0.9691943958460003,1
257,the speaker located at the bottom of the phone is decent rather than outstanding,1,0.9654394065673336,1
258,but its still smaller than most phones out right now and is enough to be portable and comfortable for most people,1,0.9920034350555856,1
259,in the fall the company is widely rumored to be launching four iphone 12 models but some analysts suspect it could delay the launch of the muchanticipated 5g iphone until consumer appetite returns,1,0.9296521222375682,1
260,while the external design is nighon identical apple has supercharged the insides with an improved chipset running the show,1,0.9635000316759433,1
261,all the usual buttons are here power volume up and down and a physical switch for turning vibration on or off,1,0.9597908816530415,1
262,i got double the wifi speed of the se on the 6s in edge cases where both phones were stuck under 10mbps on a 100mbps connection,1,0.972160146015842,1
263,toplevel volume isn’t as high as some other phones but the quality of the audio output is surprisingly good from such a small package – sound is balanced if a little thin and there’s no distortion at the highest volume,1,0.9786438673239725,1
264,the screen on the se is similar to the one on the iphone 11 especially in terms of quality and resolution,1,0.9975304935153612,1
265,considering that device will likely cost well into the mid1000s it may be long past september before people feel comfortable spending that much on a gadget,1,0.9858058038706339,1
266,that extra power is designed to allow the new iphone se to rival the iphone 11 range in terms of speed when flipping between apps and editing snaps and video and should also improve the camera performance thanks to upgraded computational power from the new chipset,1,0.99308796070168,1
267,they’re all made of aluminum like the chassis and feel great to use,1,0.9908775724068352,1
268,thats to be expected because the 6s supports mimo and the 6 does not,1,0.9750124222371892,1
269,call quality is also strong,1,0.9860574509450772,1
270,text looks sharp colors are accurate and its bright in sunny conditions,1,0.9697761113031361,1
271,the iphone se may not be for everyone but its backtobasics approach is everything we need right now to meet our needs during the quarantine and whatever comes after,1,0.9752765353036277,1
